average(station_latitude),average(station_longitude)
48.08186522,-119.3061282072
36.95,-108.2857604413
48.35029567,-125.045795045
33.9303667,-113.6860731751
37.2368,-126.4451966937
42.58332936,-122.7391663942
58.6215295,-158.7957319191
65.9939389678,-156.3985628706
52.5695389678,-167.1083628706
43.00578484,-125.0683806728
39.6212,-128.3566427497
38.3453136,-77.5859921931
48.3048935,-118.350102851
56.2287389678,-158.9303628706
41.1568667,-74.1988406634
65.5436733,-154.3560116264
40.2183,-102.8121117643
45.1841,-74.1509145372
65.0757258,-157.1428864378
61.5955389678,-156.3779862112
43.39031143,-122.239651259
41.3792,-116.4419847259
64.1220389678,-152.6042628706
61.6988318,-155.6872623401
66.926754,-156.936702504
63.8473389678,-153.9475628706
62.7104389678,-142.8898628706
38.844,-107.7529844072
57.8471389678,-143.0101628706
58.6748389678,-150.7170628706
39.5795,-98.2685507721
39.5723,-126.6548787703
58.7478389678,-156.4784628706
39.5477,-137.6532508144
44.9327,-71.5790165517
40.1047,-117.6877447329
45.8084345,-111.5443602191
49.52047557,-120.9668660374
48.2390355,-114.2071731475
35.5709968,-89.1466924476
40.0381,-75.1774036236
44.5744667,-70.9827118511
44.5762,-78.9268448202
39.58303045,-108.951969917
59.4833903,-128.9797789323
39.5738,-98.2935507721
40.1766333,-76.2467207126
49.4541071,-120.5766069836
40.52665981,-126.4829588079
33.10486522,-79.8154687784
39.5908,-128.2333402518
39.6048,-126.6571747168
43.37742936,-122.3953452153
39.6132,-132.4522052795
32.8087967,-113.3939822241
48.079819,-116.1082842606
47.6521634,-110.9980088524
49.2376072,-115.7222865278
66.7564389678,-147.6025628706
47.51301576,-114.0121926383
38.5327,-126.5091561115
47.6835304,-114.1725819434
38.614,-128.3014110795
37.5701015,-124.6093708401
47.85629025,-115.3995678561
40.8647667,-74.3024063692
64.8089389678,-144.3099628706
37.95431143,-111.940831468
42.63605873,-111.2827135413
36.201,-107.6312325779
40.52985981,-126.4782588079
37.3862,-132.5028033708
37.5003,-95.8017741746
38.9842,-109.9432383078
64.0823875,-161.8455323523
46.82774513,-118.6019330748
39.6118,-142.8930437
34.4378933,-114.2202616961
59.8544485,-135.9937533591
52.7359389678,-166.9044628706
39.4004,-127.8179143551
54.5165389678,-166.1897628706
42.5149799,-123.5421207285
41.3327333,-74.1631314554
58.7957389678,-143.6657628706
43.8853,-78.5980355224
48.76762611,-119.0645657003
65.2080389678,-143.6261628706
39.3008,-74.5728798687
43.41049675,-120.544603756
43.6416333,-73.8988434926
33.00368207,-79.802060168
52.6402389678,-168.0761628706
35.1936333,-120.4170595824
38.2965,-105.2743869057
47.1430892,-110.4815732989
43.9737333,-72.2106247162
59.2590389678,-140.8770628706
66.8534389678,-149.7530628706
65.9995389678,-169.7003628706
66.7781389678,-146.4487628706
50.8023389678,-172.2738628706
44.307,-73.0251094769
49.49284513,-122.9801771536
38.474,-126.1528354287
41.8178,-157.680680236
48.9109136,-119.0683868365
39.6745,-327.3559779254
37.4285,-109.8102061407
41.90305981,-124.3585
39.6695,-92.5441671898
36.5986576,-85.2341424272
62.6852389678,-143.0206628706
36.2376333,-108.2313801482
35.1004,-120.8405875196
41.5772317,-123.8425437833
43.1833,-74.1300987732
33.5679871,-121.3645302182
