"lat","long","mag","place","url"
9.4546,126.632,4.6,"52km ENE of Burgos, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r95u"
9.4157,126.6105,4.9,"48km ENE of Cortes, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r981"
9.4052,126.4579,4.6,"32km ENE of Cortes, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r96m"
9.5162,126.8357,4.7,"75km ENE of Cortes, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r973"
-2.3439,102.1485,4.8,"89km ESE of Sungaipenuh, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r98w"
9.4294,126.6433,4.9,"52km ENE of Cortes, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r99s"
9.4387,126.6949,4.5,"58km ENE of Burgos, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9ai"
9.3944,126.6335,4.9,"50km ENE of Burgos, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9i9"
16.5554,95.7333,4.5,"13km N of Kyaiklat, Burma","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9hr"
9.2964,126.5038,4.9,"34km E of Burgos, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9mt"
9.3906,126.4726,4.8,"33km ENE of Cortes, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9n5"
9.473,126.5098,4.6,"41km ENE of Cortes, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9ly"
-4.4913,102.5788,4.7,"83km SSE of Bengkulu, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9t9"
5.4425,126.5644,4.8,"110km SSE of Pondaguitan, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9tg"
36.543,70.0696,4.6,"19km E of Farkhar, Afghanistan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9tq"
-0.8921,131.8597,4.0,"67km E of Sorong, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9u3"
30.5423,131.5786,4.6,"59km ESE of Nishinoomote, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000r9ui"
21.1963,122.0613,4.3,"50km NNE of Itbayat, Philippines","http://earthquake.usgs.gov/earthquakes/eventpage/usc000ra43"
21.9527,120.9355,4.2,"20km ESE of Hengchun, Taiwan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000ra4i"
27.7828,57.2685,4.9,"72km NNE of Minab, Iran","http://earthquake.usgs.gov/earthquakes/eventpage/usc000raa4"
-4.4602,133.2599,4.7,"144km NNE of Tual, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rabi"
-3.6257,135.5162,4.4,"28km S of Nabire, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000raey"
36.3581,69.9817,4.6,"26km SSE of Farkhar, Afghanistan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rajt"
36.4985,140.6446,4.6,"7km ENE of Funaishikawa, Japan","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rajg"
22.5353,93.3782,4.6,"27km WSW of Hakha, Burma","http://earthquake.usgs.gov/earthquakes/eventpage/usc000rarb"
-8.5721,109.2785,4.9,"99km SSE of Karangbadar Kidul, Indonesia","http://earthquake.usgs.gov/earthquakes/eventpage/usc000ratw"
