"lat","long","mag","place","url"
40.8204,21.1647,4.5,"14km SSE of Krani, Macedonia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rsl5"
52.0513,160.6824,4.9,"176km SE of Petropavlovsk-Kamchatskiy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rt1l"
56.0296,163.0996,4.7,"44km ESE of Ust'-Kamchatsk Staryy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rt43"
53.4507,161.6196,4.4,"203km ENE of Petropavlovsk-Kamchatskiy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rtkp"
48.3274,154.681,4.7,"281km SSW of Severo-Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000ruiu"
37.799,23.9716,4.2,"1km SSW of Keratea, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rurh"
34.2421,26.1461,4.8,"90km SSE of Makry Gialos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rw3d"
48.983,-2.333,4.0,"28km SW of Saint Helier, Jersey","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rwp1"
45.5664,150.9187,4.9,"240km E of Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rxj3"
53.4524,160.4132,4.4,"126km ENE of Petropavlovsk-Kamchatskiy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rzhr"
55.0629,165.4558,4.8,"37km WSW of Nikol'skoye, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rzmq"
55.0771,165.4542,4.9,"36km WSW of Nikol'skoye, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rzmr"
55.4963,162.7525,4.6,"83km SSE of Ust'-Kamchatsk Staryy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rznc"
38.7725,15.7908,4.1,"14km NW of Tropea, Italy","http://earthquake.usgs.gov/earthquakes/eventpage/usb000rzr8"
54.1738,159.7911,4.2,"144km NE of Yelizovo, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s0mz"
48.5246,154.7899,4.6,"258km SSW of Severo-Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s129"
34.7715,24.8385,4.7,"31km S of Moirai, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s1d3"
34.5059,28.3178,4.6,"150km SE of Karpathos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s2ds"
35.8369,28.2755,4.1,"36km SE of Lardos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s2l8"
57.4529,120.7933,4.8,"164km ENE of Chara, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s3ds"
51.695,157.0697,4.6,"44km ENE of Ozernovskiy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s3gy"
53.0943,159.8749,4.3,"82km E of Petropavlovsk-Kamchatskiy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s3jr"
36.9349,-5.5504,4.5,"1km NNW of Puerto Serrano, Spain","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s46p"
49.5655,154.8975,4.2,"151km SW of Severo-Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s4g4"
48.5923,155.3289,4.6,"239km SSW of Severo-Kuril'sk, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s4te"
64.5751,-17.4639,4.8,"114km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s569"
56.1296,162.4941,4.7,"10km S of Ust'-Kamchatsk Staryy, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s59m"
64.5347,-17.7869,4.3,"128km S of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s5e5"
35.4181,27.7447,4.3,"49km ESE of Karpathos, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s5f6"
39.939,23.444,4.2,"11km SW of Polikhronon, Greece","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s57u"
64.7924,-17.3799,4.7,"104km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s5q5"
64.665,-17.505,4.2,"116km SSE of Akureyri, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s5qr"
64.4886,-17.8581,4.9,"130km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s5t3"
45.5531,26.3116,4.2,"11km NW of Gura Teghii, Romania","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s5t6"
64.5055,-17.5005,4.8,"114km WNW of Hofn, Iceland","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s5v5"
46.4452,152.3556,4.6,"Kuril Islands","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s5wm"
67.8713,142.018,4.5,"142km WSW of Druzhina, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s63i"
67.7027,142.5266,4.9,"130km WSW of Druzhina, Russia","http://earthquake.usgs.gov/earthquakes/eventpage/usb000s657"
